,Virus
9943,SARS_COV_2 
12677,MERS       
10226,SARS_COV_2 
8418,SARS_COV_2 
2926,SARS_COV_2 
11344,MERS       
10303,SARS_COV_2 
4390,SARS_COV_2 
8493,SARS_COV_2 
2734,SARS_COV_2 
6824,SARS_COV_2 
3107,SARS_COV_2 
418,SARS_COV_2 
1756,SARS_COV_2 
2962,SARS_COV_2 
2408,SARS_COV_2 
8067,SARS_COV_2 
10758,SARS_COV_2 
10833,SARS_COV_2 
12399,MERS       
3665,SARS_COV_2 
12499,MERS       
13149,MERS       
5304,SARS_COV_2 
7575,SARS_COV_2 
10658,SARS_COV_2 
11626,MERS       
9300,SARS_COV_2 
10789,SARS_COV_2 
2898,SARS_COV_2 
4734,SARS_COV_2 
3457,SARS_COV_2 
866,SARS_COV_2 
1863,SARS_COV_2 
5180,SARS_COV_2 
7466,SARS_COV_2 
8721,SARS_COV_2 
6042,SARS_COV_2 
1964,SARS_COV_2 
2236,SARS_COV_2 
10372,SARS_COV_2 
8475,SARS_COV_2 
4699,SARS_COV_2 
11912,MERS       
3277,SARS_COV_2 
2756,SARS_COV_2 
8999,SARS_COV_2 
7508,SARS_COV_2 
9502,SARS_COV_2 
12650,MERS       
13067,MERS       
5804,SARS_COV_2 
7781,SARS_COV_2 
8023,SARS_COV_2 
3104,SARS_COV_2 
2117,SARS_COV_2 
2259,SARS_COV_2 
9297,SARS_COV_2 
9751,SARS_COV_2 
3864,SARS_COV_2 
10043,SARS_COV_2 
7757,SARS_COV_2 
11341,MERS       
5684,SARS_COV_2 
10494,SARS_COV_2 
321,SARS_COV_2 
2320,SARS_COV_2 
12947,MERS       
7343,SARS_COV_2 
2177,SARS_COV_2 
10285,SARS_COV_2 
11083,SARS_COV_2 
4980,SARS_COV_2 
7109,SARS_COV_2 
89,SARS_COV_2 
11426,MERS       
4042,SARS_COV_2 
1751,SARS_COV_2 
4552,SARS_COV_2 
9935,SARS_COV_2 
11338,MERS       
1112,SARS_COV_2 
3346,SARS_COV_2 
7167,SARS_COV_2 
12194,MERS       
332,SARS_COV_2 
12509,MERS       
6231,SARS_COV_2 
4992,SARS_COV_2 
2078,SARS_COV_2 
631,SARS_COV_2 
12034,MERS       
9308,SARS_COV_2 
5548,SARS_COV_2 
8368,SARS_COV_2 
7230,SARS_COV_2 
4455,SARS_COV_2 
12005,MERS       
6898,SARS_COV_2 
7062,SARS_COV_2 
10338,SARS_COV_2 
1628,SARS_COV_2 
3193,SARS_COV_2 
740,SARS_COV_2 
6478,SARS_COV_2 
8534,SARS_COV_2 
6086,SARS_COV_2 
5519,SARS_COV_2 
8112,SARS_COV_2 
9461,SARS_COV_2 
7283,SARS_COV_2 
1076,SARS_COV_2 
6147,SARS_COV_2 
2677,SARS_COV_2 
6948,SARS_COV_2 
3936,SARS_COV_2 
10126,SARS_COV_2 
1284,SARS_COV_2 
6800,SARS_COV_2 
3024,SARS_COV_2 
2705,SARS_COV_2 
2095,SARS_COV_2 
4478,SARS_COV_2 
4018,SARS_COV_2 
2518,SARS_COV_2 
3724,SARS_COV_2 
13037,MERS       
2201,SARS_COV_2 
6541,SARS_COV_2 
7763,SARS_COV_2 
1476,SARS_COV_2 
6100,SARS_COV_2 
3233,SARS_COV_2 
9483,SARS_COV_2 
2648,SARS_COV_2 
1748,SARS_COV_2 
6570,SARS_COV_2 
9700,SARS_COV_2 
12314,MERS       
12255,MERS       
13128,MERS       
2162,SARS_COV_2 
6143,SARS_COV_2 
10365,SARS_COV_2 
1460,SARS_COV_2 
6746,SARS_COV_2 
9520,SARS_COV_2 
3938,SARS_COV_2 
12154,MERS       
5928,SARS_COV_2 
2153,SARS_COV_2 
8498,SARS_COV_2 
1865,SARS_COV_2 
3080,SARS_COV_2 
7158,SARS_COV_2 
952,SARS_COV_2 
11780,MERS       
7345,SARS_COV_2 
2314,SARS_COV_2 
2235,SARS_COV_2 
12667,MERS       
11473,MERS       
11038,SARS_COV_2 
1768,SARS_COV_2 
5390,SARS_COV_2 
5471,SARS_COV_2 
10801,SARS_COV_2 
12786,MERS       
12100,MERS       
5102,SARS_COV_2 
10606,SARS_COV_2 
3300,SARS_COV_2 
5364,SARS_COV_2 
8846,SARS_COV_2 
5872,SARS_COV_2 
1307,SARS_COV_2 
3475,SARS_COV_2 
11239,SARS_COV_2 
5031,SARS_COV_2 
11259,SARS_COV_2 
1579,SARS_COV_2 
2804,SARS_COV_2 
762,SARS_COV_2 
5385,SARS_COV_2 
10466,SARS_COV_2 
5588,SARS_COV_2 
11322,SARS_COV_2 
5492,SARS_COV_2 
1607,SARS_COV_2 
5425,SARS_COV_2 
8592,SARS_COV_2 
9683,SARS_COV_2 
226,SARS_COV_2 
2035,SARS_COV_2 
1508,SARS_COV_2 
429,SARS_COV_2 
2054,SARS_COV_2 
4639,SARS_COV_2 
8117,SARS_COV_2 
288,SARS_COV_2 
10797,SARS_COV_2 
11178,SARS_COV_2 
7442,SARS_COV_2 
9260,SARS_COV_2 
2578,SARS_COV_2 
12049,MERS       
1471,SARS_COV_2 
11548,MERS       
10462,SARS_COV_2 
8971,SARS_COV_2 
3172,SARS_COV_2 
2484,SARS_COV_2 
5945,SARS_COV_2 
2337,SARS_COV_2 
323,SARS_COV_2 
1392,SARS_COV_2 
187,SARS_COV_2 
6294,SARS_COV_2 
11342,MERS       
1904,SARS_COV_2 
1014,SARS_COV_2 
10628,SARS_COV_2 
8998,SARS_COV_2 
6855,SARS_COV_2 
11436,MERS       
12264,MERS       
9415,SARS_COV_2 
1709,SARS_COV_2 
11686,MERS       
9985,SARS_COV_2 
3389,SARS_COV_2 
4483,SARS_COV_2 
2231,SARS_COV_2 
8832,SARS_COV_2 
10646,SARS_COV_2 
9130,SARS_COV_2 
4187,SARS_COV_2 
4373,SARS_COV_2 
178,SARS_COV_2 
1233,SARS_COV_2 
5734,SARS_COV_2 
2886,SARS_COV_2 
11792,MERS       
7003,SARS_COV_2 
4852,SARS_COV_2 
7580,SARS_COV_2 
5496,SARS_COV_2 
4103,SARS_COV_2 
12318,MERS       
2289,SARS_COV_2 
2907,SARS_COV_2 
6985,SARS_COV_2 
9109,SARS_COV_2 
2564,SARS_COV_2 
492,SARS_COV_2 
6642,SARS_COV_2 
6021,SARS_COV_2 
6117,SARS_COV_2 
3296,SARS_COV_2 
5438,SARS_COV_2 
8603,SARS_COV_2 
6442,SARS_COV_2 
4534,SARS_COV_2 
6761,SARS_COV_2 
7079,SARS_COV_2 
2218,SARS_COV_2 
7979,SARS_COV_2 
916,SARS_COV_2 
3670,SARS_COV_2 
4892,SARS_COV_2 
11982,MERS       
6457,SARS_COV_2 
3117,SARS_COV_2 
9342,SARS_COV_2 
11251,SARS_COV_2 
6876,SARS_COV_2 
481,SARS_COV_2 
8855,SARS_COV_2 
1281,SARS_COV_2 
9462,SARS_COV_2 
2360,SARS_COV_2 
12040,MERS       
6817,SARS_COV_2 
13003,MERS       
7247,SARS_COV_2 
1108,SARS_COV_2 
9096,SARS_COV_2 
3465,SARS_COV_2 
6306,SARS_COV_2 
677,SARS_COV_2 
3181,SARS_COV_2 
7827,SARS_COV_2 
3974,SARS_COV_2 
8969,SARS_COV_2 
627,SARS_COV_2 
3783,SARS_COV_2 
2951,SARS_COV_2 
12960,MERS       
9746,SARS_COV_2 
10717,SARS_COV_2 
7653,SARS_COV_2 
1864,SARS_COV_2 
8044,SARS_COV_2 
2322,SARS_COV_2 
11335,MERS       
512,SARS_COV_2 
689,SARS_COV_2 
9960,SARS_COV_2 
3436,SARS_COV_2 
8494,SARS_COV_2 
6849,SARS_COV_2 
1612,SARS_COV_2 
404,SARS_COV_2 
10528,SARS_COV_2 
11712,MERS       
5856,SARS_COV_2 
8533,SARS_COV_2 
12878,MERS       
6627,SARS_COV_2 
2485,SARS_COV_2 
10484,SARS_COV_2 
2214,SARS_COV_2 
3454,SARS_COV_2 
12098,MERS       
10183,SARS_COV_2 
6097,SARS_COV_2 
12542,MERS       
11459,MERS       
2474,SARS_COV_2 
6000,SARS_COV_2 
9204,SARS_COV_2 
10118,SARS_COV_2 
831,SARS_COV_2 
11869,MERS       
836,SARS_COV_2 
9391,SARS_COV_2 
6910,SARS_COV_2 
3284,SARS_COV_2 
3636,SARS_COV_2 
11640,MERS       
4591,SARS_COV_2 
10329,SARS_COV_2 
5673,SARS_COV_2 
6927,SARS_COV_2 
9759,SARS_COV_2 
12743,MERS       
12152,MERS       
12551,MERS       
3435,SARS_COV_2 
5611,SARS_COV_2 
6510,SARS_COV_2 
12334,MERS       
1887,SARS_COV_2 
4098,SARS_COV_2 
3164,SARS_COV_2 
3781,SARS_COV_2 
10893,SARS_COV_2 
9194,SARS_COV_2 
8794,SARS_COV_2 
8367,SARS_COV_2 
2306,SARS_COV_2 
1533,SARS_COV_2 
8449,SARS_COV_2 
3178,SARS_COV_2 
10978,SARS_COV_2 
8659,SARS_COV_2 
7625,SARS_COV_2 
10530,SARS_COV_2 
11273,SARS_COV_2 
1255,SARS_COV_2 
11740,MERS       
3515,SARS_COV_2 
1653,SARS_COV_2 
6554,SARS_COV_2 
13007,MERS       
1960,SARS_COV_2 
5814,SARS_COV_2 
2836,SARS_COV_2 
5277,SARS_COV_2 
10225,SARS_COV_2 
7603,SARS_COV_2 
7870,SARS_COV_2 
9319,SARS_COV_2 
6459,SARS_COV_2 
5196,SARS_COV_2 
4256,SARS_COV_2 
9015,SARS_COV_2 
1784,SARS_COV_2 
392,SARS_COV_2 
10600,SARS_COV_2 
902,SARS_COV_2 
5118,SARS_COV_2 
4459,SARS_COV_2 
8313,SARS_COV_2 
11413,MERS       
7353,SARS_COV_2 
7679,SARS_COV_2 
7487,SARS_COV_2 
98,SARS_COV_2 
6290,SARS_COV_2 
3378,SARS_COV_2 
10928,SARS_COV_2 
5528,SARS_COV_2 
10255,SARS_COV_2 
9036,SARS_COV_2 
81,SARS_COV_2 
5724,SARS_COV_2 
12377,MERS       
2828,SARS_COV_2 
11175,SARS_COV_2 
9658,SARS_COV_2 
8428,SARS_COV_2 
8459,SARS_COV_2 
4091,SARS_COV_2 
7175,SARS_COV_2 
6737,SARS_COV_2 
9329,SARS_COV_2 
2912,SARS_COV_2 
4423,SARS_COV_2 
10942,SARS_COV_2 
422,SARS_COV_2 
6508,SARS_COV_2 
729,SARS_COV_2 
871,SARS_COV_2 
5882,SARS_COV_2 
6752,SARS_COV_2 
6234,SARS_COV_2 
3420,SARS_COV_2 
12185,MERS       
9544,SARS_COV_2 
11402,MERS       
6165,SARS_COV_2 
12602,MERS       
9908,SARS_COV_2 
2824,SARS_COV_2 
768,SARS_COV_2 
10755,SARS_COV_2 
11585,MERS       
13168,MERS       
4926,SARS_COV_2 
4575,SARS_COV_2 
713,SARS_COV_2 
2368,SARS_COV_2 
2003,SARS_COV_2 
4996,SARS_COV_2 
4140,SARS_COV_2 
12981,MERS       
8147,SARS_COV_2 
8764,SARS_COV_2 
2212,SARS_COV_2 
12727,MERS       
12702,MERS       
1226,SARS_COV_2 
12829,MERS       
11400,MERS       
5204,SARS_COV_2 
9823,SARS_COV_2 
9914,SARS_COV_2 
2393,SARS_COV_2 
6450,SARS_COV_2 
10626,SARS_COV_2 
10549,SARS_COV_2 
4496,SARS_COV_2 
6812,SARS_COV_2 
12794,MERS       
8283,SARS_COV_2 
5020,SARS_COV_2 
1971,SARS_COV_2 
4753,SARS_COV_2 
9582,SARS_COV_2 
2943,SARS_COV_2 
13063,MERS       
1705,SARS_COV_2 
12532,MERS       
8821,SARS_COV_2 
10803,SARS_COV_2 
209,SARS_COV_2 
5714,SARS_COV_2 
229,SARS_COV_2 
9780,SARS_COV_2 
1022,SARS_COV_2 
4754,SARS_COV_2 
5,SARS_COV_2 
1032,SARS_COV_2 
10449,SARS_COV_2 
6362,SARS_COV_2 
1891,SARS_COV_2 
10625,SARS_COV_2 
9679,SARS_COV_2 
7364,SARS_COV_2 
4774,SARS_COV_2 
5274,SARS_COV_2 
7672,SARS_COV_2 
2867,SARS_COV_2 
8026,SARS_COV_2 
12462,MERS       
12002,MERS       
11558,MERS       
599,SARS_COV_2 
5974,SARS_COV_2 
11757,MERS       
6188,SARS_COV_2 
10773,SARS_COV_2 
12297,MERS       
1139,SARS_COV_2 
4795,SARS_COV_2 
9193,SARS_COV_2 
8033,SARS_COV_2 
5003,SARS_COV_2 
9021,SARS_COV_2 
4819,SARS_COV_2 
2387,SARS_COV_2 
12546,MERS       
4363,SARS_COV_2 
8355,SARS_COV_2 
8249,SARS_COV_2 
11474,MERS       
4955,SARS_COV_2 
11041,SARS_COV_2 
186,SARS_COV_2 
8795,SARS_COV_2 
4790,SARS_COV_2 
1174,SARS_COV_2 
9285,SARS_COV_2 
9496,SARS_COV_2 
6177,SARS_COV_2 
6355,SARS_COV_2 
10673,SARS_COV_2 
10325,SARS_COV_2 
1309,SARS_COV_2 
4901,SARS_COV_2 
7072,SARS_COV_2 
601,SARS_COV_2 
110,SARS_COV_2 
9061,SARS_COV_2 
10880,SARS_COV_2 
4283,SARS_COV_2 
7951,SARS_COV_2 
8770,SARS_COV_2 
5780,SARS_COV_2 
8848,SARS_COV_2 
7774,SARS_COV_2 
877,SARS_COV_2 
8153,SARS_COV_2 
7117,SARS_COV_2 
8379,SARS_COV_2 
11233,SARS_COV_2 
10211,SARS_COV_2 
5201,SARS_COV_2 
9577,SARS_COV_2 
820,SARS_COV_2 
9836,SARS_COV_2 
6004,SARS_COV_2 
4377,SARS_COV_2 
8926,SARS_COV_2 
12897,MERS       
7732,SARS_COV_2 
12387,MERS       
3447,SARS_COV_2 
4924,SARS_COV_2 
11158,SARS_COV_2 
2373,SARS_COV_2 
11403,MERS       
4126,SARS_COV_2 
6316,SARS_COV_2 
9228,SARS_COV_2 
2092,SARS_COV_2 
795,SARS_COV_2 
12224,MERS       
4940,SARS_COV_2 
11289,SARS_COV_2 
8173,SARS_COV_2 
7631,SARS_COV_2 
7947,SARS_COV_2 
5526,SARS_COV_2 
1568,SARS_COV_2 
10292,SARS_COV_2 
2186,SARS_COV_2 
3796,SARS_COV_2 
4475,SARS_COV_2 
11039,SARS_COV_2 
548,SARS_COV_2 
12478,MERS       
3124,SARS_COV_2 
12986,MERS       
6426,SARS_COV_2 
8001,SARS_COV_2 
1787,SARS_COV_2 
12052,MERS       
6467,SARS_COV_2 
2569,SARS_COV_2 
2835,SARS_COV_2 
6291,SARS_COV_2 
8560,SARS_COV_2 
6959,SARS_COV_2 
7614,SARS_COV_2 
7468,SARS_COV_2 
5320,SARS_COV_2 
6607,SARS_COV_2 
4832,SARS_COV_2 
8649,SARS_COV_2 
1004,SARS_COV_2 
8947,SARS_COV_2 
12848,MERS       
7043,SARS_COV_2 
8965,SARS_COV_2 
565,SARS_COV_2 
6677,SARS_COV_2 
2931,SARS_COV_2 
12742,MERS       
8499,SARS_COV_2 
6118,SARS_COV_2 
6900,SARS_COV_2 
11839,MERS       
13096,MERS       
8588,SARS_COV_2 
10542,SARS_COV_2 
11828,MERS       
12068,MERS       
2280,SARS_COV_2 
4571,SARS_COV_2 
12685,MERS       
7164,SARS_COV_2 
11424,MERS       
7304,SARS_COV_2 
12956,MERS       
8910,SARS_COV_2 
9522,SARS_COV_2 
11190,SARS_COV_2 
10208,SARS_COV_2 
8179,SARS_COV_2 
3909,SARS_COV_2 
6152,SARS_COV_2 
9458,SARS_COV_2 
4995,SARS_COV_2 
2967,SARS_COV_2 
8903,SARS_COV_2 
4166,SARS_COV_2 
348,SARS_COV_2 
1342,SARS_COV_2 
12439,MERS       
5542,SARS_COV_2 
311,SARS_COV_2 
7826,SARS_COV_2 
4444,SARS_COV_2 
8035,SARS_COV_2 
8348,SARS_COV_2 
11777,MERS       
246,SARS_COV_2 
243,SARS_COV_2 
8895,SARS_COV_2 
10556,SARS_COV_2 
5562,SARS_COV_2 
7636,SARS_COV_2 
11664,MERS       
13101,MERS       
3614,SARS_COV_2 
12497,MERS       
6634,SARS_COV_2 
12446,MERS       
6359,SARS_COV_2 
4322,SARS_COV_2 
13189,MERS       
2652,SARS_COV_2 
4389,SARS_COV_2 
1388,SARS_COV_2 
4245,SARS_COV_2 
791,SARS_COV_2 
973,SARS_COV_2 
2586,SARS_COV_2 
238,SARS_COV_2 
7583,SARS_COV_2 
8354,SARS_COV_2 
11935,MERS       
10051,SARS_COV_2 
9474,SARS_COV_2 
7273,SARS_COV_2 
4295,SARS_COV_2 
8831,SARS_COV_2 
3187,SARS_COV_2 
4296,SARS_COV_2 
11516,MERS       
12976,MERS       
4823,SARS_COV_2 
1808,SARS_COV_2 
5931,SARS_COV_2 
3846,SARS_COV_2 
12886,MERS       
3945,SARS_COV_2 
254,SARS_COV_2 
8060,SARS_COV_2 
2263,SARS_COV_2 
4227,SARS_COV_2 
9396,SARS_COV_2 
1405,SARS_COV_2 
8626,SARS_COV_2 
4961,SARS_COV_2 
3009,SARS_COV_2 
8045,SARS_COV_2 
1676,SARS_COV_2 
11333,MERS       
310,SARS_COV_2 
9744,SARS_COV_2 
1626,SARS_COV_2 
6080,SARS_COV_2 
12349,MERS       
1539,SARS_COV_2 
6094,SARS_COV_2 
4498,SARS_COV_2 
10264,SARS_COV_2 
4023,SARS_COV_2 
9076,SARS_COV_2 
12042,MERS       
11482,MERS       
1092,SARS_COV_2 
10783,SARS_COV_2 
11200,SARS_COV_2 
3958,SARS_COV_2 
4566,SARS_COV_2 
4299,SARS_COV_2 
3165,SARS_COV_2 
6498,SARS_COV_2 
3426,SARS_COV_2 
9955,SARS_COV_2 
11074,SARS_COV_2 
9634,SARS_COV_2 
5116,SARS_COV_2 
12304,MERS       
4739,SARS_COV_2 
895,SARS_COV_2 
2374,SARS_COV_2 
9889,SARS_COV_2 
2582,SARS_COV_2 
9763,SARS_COV_2 
536,SARS_COV_2 
5646,SARS_COV_2 
8479,SARS_COV_2 
1156,SARS_COV_2 
11329,SARS_COV_2 
6090,SARS_COV_2 
10149,SARS_COV_2 
12961,MERS       
11621,MERS       
9416,SARS_COV_2 
1478,SARS_COV_2 
1532,SARS_COV_2 
3249,SARS_COV_2 
10,SARS_COV_2 
5421,SARS_COV_2 
8203,SARS_COV_2 
341,SARS_COV_2 
1187,SARS_COV_2 
13040,MERS       
5793,SARS_COV_2 
11587,MERS       
5232,SARS_COV_2 
3408,SARS_COV_2 
2797,SARS_COV_2 
593,SARS_COV_2 
3129,SARS_COV_2 
10040,SARS_COV_2 
3557,SARS_COV_2 
12132,MERS       
1711,SARS_COV_2 
8991,SARS_COV_2 
7444,SARS_COV_2 
10312,SARS_COV_2 
334,SARS_COV_2 
4957,SARS_COV_2 
9918,SARS_COV_2 
12949,MERS       
10505,SARS_COV_2 
6050,SARS_COV_2 
2743,SARS_COV_2 
472,SARS_COV_2 
12047,MERS       
5396,SARS_COV_2 
11687,MERS       
2401,SARS_COV_2 
1373,SARS_COV_2 
4188,SARS_COV_2 
13061,MERS       
9080,SARS_COV_2 
8093,SARS_COV_2 
4933,SARS_COV_2 
2911,SARS_COV_2 
1308,SARS_COV_2 
4161,SARS_COV_2 
972,SARS_COV_2 
12153,MERS       
12785,MERS       
5500,SARS_COV_2 
12392,MERS       
7477,SARS_COV_2 
3363,SARS_COV_2 
12493,MERS       
706,SARS_COV_2 
10602,SARS_COV_2 
10490,SARS_COV_2 
5415,SARS_COV_2 
11279,SARS_COV_2 
616,SARS_COV_2 
1766,SARS_COV_2 
5467,SARS_COV_2 
8665,SARS_COV_2 
7252,SARS_COV_2 
13123,MERS       
12874,MERS       
2119,SARS_COV_2 
9018,SARS_COV_2 
386,SARS_COV_2 
3037,SARS_COV_2 
6256,SARS_COV_2 
11318,SARS_COV_2 
8609,SARS_COV_2 
7934,SARS_COV_2 
2066,SARS_COV_2 
9221,SARS_COV_2 
7373,SARS_COV_2 
7368,SARS_COV_2 
3586,SARS_COV_2 
11683,MERS       
1194,SARS_COV_2 
2356,SARS_COV_2 
7926,SARS_COV_2 
251,SARS_COV_2 
7093,SARS_COV_2 
1008,SARS_COV_2 
130,SARS_COV_2 
11242,SARS_COV_2 
2524,SARS_COV_2 
3634,SARS_COV_2 
2366,SARS_COV_2 
4171,SARS_COV_2 
7060,SARS_COV_2 
11617,MERS       
1669,SARS_COV_2 
1813,SARS_COV_2 
6131,SARS_COV_2 
6451,SARS_COV_2 
3340,SARS_COV_2 
7943,SARS_COV_2 
12190,MERS       
9614,SARS_COV_2 
3927,SARS_COV_2 
4947,SARS_COV_2 
1618,SARS_COV_2 
6650,SARS_COV_2 
1312,SARS_COV_2 
8473,SARS_COV_2 
1427,SARS_COV_2 
12510,MERS       
6222,SARS_COV_2 
87,SARS_COV_2 
4679,SARS_COV_2 
10288,SARS_COV_2 
5002,SARS_COV_2 
3584,SARS_COV_2 
2806,SARS_COV_2 
2535,SARS_COV_2 
2855,SARS_COV_2 
12625,MERS       
10932,SARS_COV_2 
3547,SARS_COV_2 
1463,SARS_COV_2 
12978,MERS       
9454,SARS_COV_2 
9104,SARS_COV_2 
12801,MERS       
5122,SARS_COV_2 
8950,SARS_COV_2 
4884,SARS_COV_2 
8340,SARS_COV_2 
7988,SARS_COV_2 
10304,SARS_COV_2 
7022,SARS_COV_2 
8927,SARS_COV_2 
12998,MERS       
13132,MERS       
1918,SARS_COV_2 
9934,SARS_COV_2 
8465,SARS_COV_2 
3156,SARS_COV_2 
7374,SARS_COV_2 
8850,SARS_COV_2 
9248,SARS_COV_2 
5759,SARS_COV_2 
2571,SARS_COV_2 
9685,SARS_COV_2 
11999,MERS       
3769,SARS_COV_2 
11610,MERS       
13076,MERS       
11046,SARS_COV_2 
7396,SARS_COV_2 
2719,SARS_COV_2 
4403,SARS_COV_2 
6154,SARS_COV_2 
7065,SARS_COV_2 
5169,SARS_COV_2 
6390,SARS_COV_2 
445,SARS_COV_2 
7939,SARS_COV_2 
1435,SARS_COV_2 
6029,SARS_COV_2 
11980,MERS       
7602,SARS_COV_2 
9871,SARS_COV_2 
6495,SARS_COV_2 
2426,SARS_COV_2 
3003,SARS_COV_2 
13016,MERS       
1708,SARS_COV_2 
359,SARS_COV_2 
6943,SARS_COV_2 
682,SARS_COV_2 
259,SARS_COV_2 
5917,SARS_COV_2 
4841,SARS_COV_2 
3413,SARS_COV_2 
2748,SARS_COV_2 
6323,SARS_COV_2 
10324,SARS_COV_2 
13009,MERS       
11171,SARS_COV_2 
1511,SARS_COV_2 
5491,SARS_COV_2 
9982,SARS_COV_2 
6877,SARS_COV_2 
3063,SARS_COV_2 
561,SARS_COV_2 
11063,SARS_COV_2 
5806,SARS_COV_2 
4328,SARS_COV_2 
1670,SARS_COV_2 
7226,SARS_COV_2 
4730,SARS_COV_2 
4061,SARS_COV_2 
8788,SARS_COV_2 
4853,SARS_COV_2 
8236,SARS_COV_2 
12507,MERS       
460,SARS_COV_2 
253,SARS_COV_2 
5689,SARS_COV_2 
9006,SARS_COV_2 
5768,SARS_COV_2 
4293,SARS_COV_2 
11618,MERS       
10394,SARS_COV_2 
304,SARS_COV_2 
9227,SARS_COV_2 
12135,MERS       
1926,SARS_COV_2 
9488,SARS_COV_2 
11166,SARS_COV_2 
9650,SARS_COV_2 
3393,SARS_COV_2 
923,SARS_COV_2 
8275,SARS_COV_2 
430,SARS_COV_2 
3227,SARS_COV_2 
7600,SARS_COV_2 
5851,SARS_COV_2 
4431,SARS_COV_2 
7807,SARS_COV_2 
1825,SARS_COV_2 
6841,SARS_COV_2 
8682,SARS_COV_2 
521,SARS_COV_2 
2034,SARS_COV_2 
11292,SARS_COV_2 
7776,SARS_COV_2 
11466,MERS       
8158,SARS_COV_2 
2486,SARS_COV_2 
9102,SARS_COV_2 
4784,SARS_COV_2 
1501,SARS_COV_2 
6454,SARS_COV_2 
6385,SARS_COV_2 
5812,SARS_COV_2 
5877,SARS_COV_2 
4588,SARS_COV_2 
5009,SARS_COV_2 
10193,SARS_COV_2 
9825,SARS_COV_2 
2640,SARS_COV_2 
9348,SARS_COV_2 
3580,SARS_COV_2 
4642,SARS_COV_2 
4410,SARS_COV_2 
13025,MERS       
4471,SARS_COV_2 
7742,SARS_COV_2 
8784,SARS_COV_2 
10447,SARS_COV_2 
4536,SARS_COV_2 
5789,SARS_COV_2 
7528,SARS_COV_2 
1844,SARS_COV_2 
9376,SARS_COV_2 
3779,SARS_COV_2 
11647,MERS       
97,SARS_COV_2 
9736,SARS_COV_2 
6101,SARS_COV_2 
1331,SARS_COV_2 
6346,SARS_COV_2 
4875,SARS_COV_2 
6890,SARS_COV_2 
12504,MERS       
9767,SARS_COV_2 
9790,SARS_COV_2 
6537,SARS_COV_2 
8481,SARS_COV_2 
5498,SARS_COV_2 
3751,SARS_COV_2 
4735,SARS_COV_2 
11831,MERS       
10003,SARS_COV_2 
8989,SARS_COV_2 
11732,MERS       
1555,SARS_COV_2 
12895,MERS       
10148,SARS_COV_2 
2853,SARS_COV_2 
7906,SARS_COV_2 
12796,MERS       
258,SARS_COV_2 
685,SARS_COV_2 
4845,SARS_COV_2 
4804,SARS_COV_2 
13180,MERS       
2715,SARS_COV_2 
9873,SARS_COV_2 
8400,SARS_COV_2 
7749,SARS_COV_2 
4781,SARS_COV_2 
6482,SARS_COV_2 
12939,MERS       
2279,SARS_COV_2 
1275,SARS_COV_2 
4613,SARS_COV_2 
5410,SARS_COV_2 
7445,SARS_COV_2 
3829,SARS_COV_2 
8206,SARS_COV_2 
2551,SARS_COV_2 
8650,SARS_COV_2 
13059,MERS       
1432,SARS_COV_2 
4255,SARS_COV_2 
8042,SARS_COV_2 
10157,SARS_COV_2 
2051,SARS_COV_2 
5959,SARS_COV_2 
9921,SARS_COV_2 
3842,SARS_COV_2 
5142,SARS_COV_2 
34,SARS_COV_2 
12999,MERS       
6707,SARS_COV_2 
4843,SARS_COV_2 
3292,SARS_COV_2 
4535,SARS_COV_2 
8803,SARS_COV_2 
9946,SARS_COV_2 
4720,SARS_COV_2 
1833,SARS_COV_2 
101,SARS_COV_2 
3483,SARS_COV_2 
10947,SARS_COV_2 
5682,SARS_COV_2 
3077,SARS_COV_2 
3722,SARS_COV_2 
6386,SARS_COV_2 
7546,SARS_COV_2 
8919,SARS_COV_2 
5366,SARS_COV_2 
11897,MERS       
6861,SARS_COV_2 
4861,SARS_COV_2 
1115,SARS_COV_2 
8759,SARS_COV_2 
10548,SARS_COV_2 
2786,SARS_COV_2 
5270,SARS_COV_2 
2178,SARS_COV_2 
6445,SARS_COV_2 
4611,SARS_COV_2 
4135,SARS_COV_2 
8576,SARS_COV_2 
7877,SARS_COV_2 
6585,SARS_COV_2 
13200,SARS_COV_1 
2589,SARS_COV_2 
2572,SARS_COV_2 
5431,SARS_COV_2 
12836,MERS       
5140,SARS_COV_2 
11919,MERS       
7725,SARS_COV_2 
7756,SARS_COV_2 
13,SARS_COV_2 
8511,SARS_COV_2 
3642,SARS_COV_2 
4616,SARS_COV_2 
7799,SARS_COV_2 
8006,SARS_COV_2 
12146,MERS       
2525,SARS_COV_2 
1834,SARS_COV_2 
9785,SARS_COV_2 
8976,SARS_COV_2 
3509,SARS_COV_2 
576,SARS_COV_2 
12192,MERS       
10834,SARS_COV_2 
741,SARS_COV_2 
10373,SARS_COV_2 
267,SARS_COV_2 
11238,SARS_COV_2 
5865,SARS_COV_2 
2380,SARS_COV_2 
597,SARS_COV_2 
4348,SARS_COV_2 
3504,SARS_COV_2 
3940,SARS_COV_2 
4802,SARS_COV_2 
9183,SARS_COV_2 
9727,SARS_COV_2 
8436,SARS_COV_2 
5782,SARS_COV_2 
9239,SARS_COV_2 
6562,SARS_COV_2 
11153,SARS_COV_2 
2562,SARS_COV_2 
3099,SARS_COV_2 
1472,SARS_COV_2 
3031,SARS_COV_2 
11001,SARS_COV_2 
4905,SARS_COV_2 
