,PROTEIN
5003,ORF1ab polyprotein
11159,ORF6 protein
8605,ORF1ab polyprotein
10208,nucleocapsid phosphoprotein
11704,ORF1a polyprotein
212,ORF1ab polyprotein
11175,ORF1ab polyprotein
6335,ORF1ab polyprotein
1093,ORF1ab polyprotein
10777,ORF1a polyprotein
10732,ORF1a polyprotein
6371,ORF1ab polyprotein
6779,ORF1ab polyprotein
3181,ORF1ab polyprotein
9981,ORF1ab polyprotein
11958,ORF1ab polyprotein
5096,ORF1ab polyprotein
12711,ORF1ab polyprotein
8742,ORF1ab polyprotein
12928,ORF1ab polyprotein
7298,ORF1a polyprotein
1590,ORF3a protein
8506,ORF1ab polyprotein
11593,nucleocapsid phosphoprotein
10617,ORF1ab polyprotein
4912,ORF1a polyprotein
11198,ORF3a protein
4666,ORF1a polyprotein
121,ORF1a polyprotein
8384,ORF1a polyprotein
12288,ORF1ab polyprotein
4627,ORF1a polyprotein
8107,ORF1a polyprotein
6482,surface glycoprotein
5406,ORF1ab polyprotein
2143,ORF1a polyprotein
9327,surface glycoprotein
7195,ORF1a polyprotein
6198,nucleocapsid phosphoprotein
12187,surface glycoprotein
5979,surface glycoprotein
7622,ORF1a polyprotein
7669,ORF1ab polyprotein
3972,ORF1ab polyprotein
7660,ORF1a polyprotein
4129,ORF8 protein
7302,ORF1ab polyprotein
780,ORF1ab polyprotein
8003,ORF1ab polyprotein
11363,ORF1ab polyprotein
542,ORF1a polyprotein
8228,membrane glycoprotein
10241,ORF1a polyprotein
288,ORF1ab polyprotein
3634,surface glycoprotein
2086,nucleocapsid phosphoprotein
9950,surface glycoprotein
8044,ORF1ab polyprotein
6787,ORF1a polyprotein
9959,surface glycoprotein
2581,ORF1ab polyprotein
632,nucleocapsid phosphoprotein
10139,ORF1ab polyprotein
1989,ORF1ab polyprotein
3869,ORF1ab polyprotein
9791,ORF1a polyprotein
4026,ORF1ab polyprotein
9028,ORF1ab polyprotein
1140,ORF1ab polyprotein
5990,ORF1ab polyprotein
8700,ORF1ab polyprotein
8750,ORF1ab polyprotein
10461,ORF1ab polyprotein
823,ORF1ab polyprotein
3276,ORF1ab polyprotein
3064,ORF1a polyprotein
5579,ORF1a polyprotein
3442,ORF1ab polyprotein
3851,ORF1ab polyprotein
5813,ORF1ab polyprotein
6201,ORF1ab polyprotein
9885,ORF1ab polyprotein
6142,ORF1ab polyprotein
9039,nucleocapsid phosphoprotein
8863,ORF1a polyprotein
8095,ORF1a polyprotein
7623,ORF1ab polyprotein
8015,ORF1ab polyprotein
8993,ORF1ab polyprotein
5418,ORF1ab polyprotein
218,ORF1ab polyprotein
11642,ORF4b protein
8199,ORF1ab polyprotein
2571,ORF1ab polyprotein
4476,ORF1ab polyprotein
11190,ORF1a polyprotein
6299,nucleocapsid phosphoprotein
7001,ORF1ab polyprotein
3947,surface glycoprotein
5913,ORF1ab polyprotein
2070,membrane glycoprotein
544,ORF1a polyprotein
6578,ORF1a polyprotein
6915,ORF1ab polyprotein
12549,ORF3 protein
12154,membrane glycoprotein
9598,ORF1a polyprotein
8447,surface glycoprotein
12965,ORF4b protein
11447,ORF1ab polyprotein
11477,ORF3 protein
1575,ORF1ab polyprotein
6583,ORF1ab polyprotein
10016,ORF1a polyprotein
13015,ORF1ab polyprotein
7754,ORF1ab polyprotein
9724,ORF1ab polyprotein
5947,ORF1a polyprotein
11309,surface glycoprotein
9423,ORF1ab polyprotein
5217,ORF1ab polyprotein
12332,surface glycoprotein
11196,surface glycoprotein
3018,ORF1a polyprotein
8699,ORF1ab polyprotein
6585,ORF1ab polyprotein
2860,ORF1ab polyprotein
6711,ORF1a polyprotein
10770,ORF1ab polyprotein
1688,surface glycoprotein
1390,ORF1ab polyprotein
10702,ORF1a polyprotein
268,ORF1ab polyprotein
5920,ORF1a polyprotein
11085,surface glycoprotein
832,ORF1ab polyprotein
2659,ORF1ab polyprotein
6383,surface glycoprotein
3408,ORF1a polyprotein
12985,ORF3 protein
4025,ORF1a polyprotein
13120,ORF1ab polyprotein
8746,ORF1a polyprotein
3247,ORF3a protein
2950,ORF1a polyprotein
3024,ORF1ab polyprotein
3182,surface glycoprotein
6894,ORF1a polyprotein
6207,ORF1a polyprotein
1374,ORF1ab polyprotein
5602,ORF1ab polyprotein
12878,ORF1a polyprotein
6778,ORF1a polyprotein
1604,ORF1a polyprotein
11695,ORF1a polyprotein
1811,ORF1a polyprotein
6725,ORF1a polyprotein
1255,ORF1a polyprotein
9645,ORF1ab polyprotein
3491,ORF1ab polyprotein
5601,ORF1ab polyprotein
647,ORF1a polyprotein
320,ORF1a polyprotein
11926,surface glycoprotein
6249,ORF1ab polyprotein
1658,ORF1ab polyprotein
6008,ORF1ab polyprotein
9839,nucleocapsid phosphoprotein
10169,surface glycoprotein
12304,ORF1ab polyprotein
11441,ORF4b protein
11606,ORF3 protein
3561,ORF1ab polyprotein
59,ORF1ab polyprotein
10094,ORF1ab polyprotein
156,ORF1ab polyprotein
4555,ORF1a polyprotein
7033,ORF1ab polyprotein
8892,ORF1ab polyprotein
6442,nucleocapsid phosphoprotein
5440,nucleocapsid phosphoprotein
1815,nucleocapsid phosphoprotein
12370,surface glycoprotein
9735,ORF1ab polyprotein
12897,ORF1a polyprotein
12203,surface glycoprotein
2672,surface glycoprotein
11933,surface glycoprotein
8355,ORF1ab polyprotein
10742,ORF1ab polyprotein
12775,ORF1a polyprotein
9139,ORF1a polyprotein
12798,ORF1a polyprotein
12696,membrane glycoprotein
2978,surface glycoprotein
12887,ORF1a polyprotein
9804,ORF1ab polyprotein
12639,ORF5 protein
11531,surface glycoprotein
6309,ORF1ab polyprotein
7928,ORF1a polyprotein
4680,ORF1ab polyprotein
12136,surface glycoprotein
13,ORF1ab polyprotein
10137,surface glycoprotein
11630,ORF1ab polyprotein
8614,ORF1ab polyprotein
1407,ORF1ab polyprotein
9494,ORF1a polyprotein
6440,ORF1ab polyprotein
6087,nucleocapsid phosphoprotein
8369,ORF1ab polyprotein
5687,ORF1ab polyprotein
8404,ORF1ab polyprotein
10717,surface glycoprotein
5053,ORF1ab polyprotein
7838,ORF1ab polyprotein
10470,ORF3a protein
3697,surface glycoprotein
8620,surface glycoprotein
6521,ORF1a polyprotein
9748,ORF1a polyprotein
11264,ORF1ab polyprotein
9124,ORF8 protein
4242,ORF1a polyprotein
9942,ORF1ab polyprotein
12768,ORF1a polyprotein
6426,ORF3a protein
12662,ORF4a protein
9037,nucleocapsid phosphoprotein
4143,ORF1a polyprotein
2241,ORF1a polyprotein
3179,ORF1a polyprotein
6246,nucleocapsid phosphoprotein
5515,ORF1ab polyprotein
1720,ORF1a polyprotein
1262,ORF1a polyprotein
986,ORF1ab polyprotein
6506,ORF1ab polyprotein
3161,ORF1ab polyprotein
5005,nucleocapsid phosphoprotein
648,surface glycoprotein
8768,nucleocapsid phosphoprotein
7019,ORF1ab polyprotein
5667,ORF1a polyprotein
8657,ORF1ab polyprotein
2013,surface glycoprotein
9528,ORF1ab polyprotein
8027,ORF1a polyprotein
2033,ORF1a polyprotein
3445,ORF1ab polyprotein
12980,ORF1ab polyprotein
300,ORF1a polyprotein
2538,ORF1a polyprotein
11992,ORF1ab polyprotein
8263,ORF1ab polyprotein
5736,ORF1ab polyprotein
10244,ORF1ab polyprotein
149,nucleocapsid phosphoprotein
6057,ORF3a protein
3050,ORF1a polyprotein
2768,ORF1a polyprotein
10462,ORF1a polyprotein
11945,ORF3 protein
10396,ORF1a polyprotein
11468,ORF1ab polyprotein
2129,nucleocapsid phosphoprotein
12834,ORF1a polyprotein
2161,ORF1ab polyprotein
11837,ORF1a polyprotein
8117,ORF1ab polyprotein
875,ORF1ab polyprotein
3989,surface glycoprotein
4806,ORF1ab polyprotein
12727,ORF4a protein
4870,ORF1ab polyprotein
5866,nucleocapsid phosphoprotein
1401,ORF1ab polyprotein
3037,ORF1a polyprotein
12429,ORF1a polyprotein
5323,ORF1ab polyprotein
5439,ORF1a polyprotein
11081,ORF1ab polyprotein
396,ORF1a polyprotein
9217,ORF1a polyprotein
7501,ORF1a polyprotein
1033,ORF1ab polyprotein
10942,nucleocapsid phosphoprotein
11649,ORF1ab polyprotein
4211,surface glycoprotein
1133,ORF1a polyprotein
6765,ORF1ab polyprotein
6520,ORF1a polyprotein
6680,ORF1ab polyprotein
8674,ORF1ab polyprotein
12813,surface glycoprotein
818,ORF1ab polyprotein
10769,surface glycoprotein
8901,ORF1ab polyprotein
3480,ORF1a polyprotein
10184,ORF1a polyprotein
5173,ORF1a polyprotein
3066,ORF1ab polyprotein
5628,ORF1ab polyprotein
52,ORF1a polyprotein
4301,ORF1ab polyprotein
11529,ORF1ab polyprotein
3433,ORF1ab polyprotein
3974,ORF1ab polyprotein
4416,ORF1a polyprotein
7741,ORF1ab polyprotein
8972,ORF1a polyprotein
1234,ORF1a polyprotein
4239,ORF1ab polyprotein
487,ORF1a polyprotein
6710,ORF1ab polyprotein
10604,ORF1ab polyprotein
6596,ORF1a polyprotein
4059,ORF1ab polyprotein
11532,ORF1a polyprotein
5344,ORF1a polyprotein
11863,ORF1a polyprotein
8388,ORF1a polyprotein
11578,nucleocapsid phosphoprotein
4108,ORF1ab polyprotein
5341,ORF1ab polyprotein
432,ORF1ab polyprotein
8724,surface glycoprotein
3941,ORF1a polyprotein
12898,ORF1ab polyprotein
7745,ORF1a polyprotein
8596,surface glycoprotein
8948,ORF1ab polyprotein
1632,surface glycoprotein
6689,ORF1ab polyprotein
11024,ORF1ab polyprotein
9364,ORF1ab polyprotein
9674,ORF1a polyprotein
4798,ORF1ab polyprotein
8146,ORF1ab polyprotein
10060,ORF1a polyprotein
3852,ORF1ab polyprotein
1941,ORF1ab polyprotein
7994,ORF1a polyprotein
12077,ORF1a polyprotein
3881,ORF1ab polyprotein
11053,ORF1ab polyprotein
744,ORF1a polyprotein
6251,ORF1ab polyprotein
12952,nucleocapsid phosphoprotein
523,ORF1ab polyprotein
1478,ORF1a polyprotein
11617,nucleocapsid phosphoprotein
8191,ORF1a polyprotein
6232,ORF1a polyprotein
10370,ORF1a polyprotein
5310,ORF1ab polyprotein
10927,ORF1a polyprotein
1294,ORF1a polyprotein
917,ORF1a polyprotein
3650,ORF1ab polyprotein
636,ORF1ab polyprotein
3038,ORF1ab polyprotein
12748,surface glycoprotein
3071,ORF1ab polyprotein
11062,ORF1ab polyprotein
1587,ORF1ab polyprotein
7239,ORF1ab polyprotein
1211,ORF1ab polyprotein
9845,ORF1ab polyprotein
6698,ORF1ab polyprotein
2042,ORF1ab polyprotein
2323,surface glycoprotein
9093,ORF1ab polyprotein
5153,ORF1a polyprotein
652,ORF1ab polyprotein
3755,surface glycoprotein
8871,ORF1ab polyprotein
12009,ORF4b protein
1027,ORF1a polyprotein
160,ORF1a polyprotein
11494,ORF1ab polyprotein
2791,surface glycoprotein
4294,ORF1ab polyprotein
4057,membrane glycoprotein
846,ORF1ab polyprotein
6993,ORF3a protein
7097,ORF1ab polyprotein
4418,ORF1ab polyprotein
8312,surface glycoprotein
9134,ORF1ab polyprotein
4316,ORF1ab polyprotein
5125,ORF1ab polyprotein
1036,ORF1a polyprotein
911,ORF1a polyprotein
2979,ORF1ab polyprotein
7647,ORF1ab polyprotein
10474,ORF1ab polyprotein
11895,ORF1ab polyprotein
8136,ORF1a polyprotein
6952,ORF1a polyprotein
13034,ORF5 protein
11185,ORF1ab polyprotein
1452,ORF1a polyprotein
12427,ORF1a polyprotein
7536,ORF1ab polyprotein
9252,ORF3a protein
12820,surface glycoprotein
7450,ORF1ab polyprotein
8751,ORF7b protein
4087,membrane glycoprotein
4355,ORF1ab polyprotein
7390,ORF1ab polyprotein
4976,ORF1a polyprotein
11195,ORF1ab polyprotein
1063,ORF1a polyprotein
5589,ORF1a polyprotein
2935,ORF1ab polyprotein
4147,surface glycoprotein
1839,ORF1a polyprotein
1848,ORF1a polyprotein
8756,ORF1ab polyprotein
9948,surface glycoprotein
7459,surface glycoprotein
10818,ORF1ab polyprotein
154,nucleocapsid phosphoprotein
9922,surface glycoprotein
89,ORF1ab polyprotein
4210,ORF1a polyprotein
6814,ORF1ab polyprotein
10757,ORF1ab polyprotein
12620,ORF1ab polyprotein
11273,ORF8 protein
2758,ORF1a polyprotein
9308,ORF1ab polyprotein
872,surface glycoprotein
12233,ORF1a polyprotein
5648,ORF1ab polyprotein
8227,ORF1ab polyprotein
3613,ORF1ab polyprotein
11917,ORF1a polyprotein
6143,ORF1a polyprotein
12166,surface glycoprotein
12183,ORF1ab polyprotein
6370,ORF1ab polyprotein
8521,surface glycoprotein
6411,nucleocapsid phosphoprotein
11693,ORF1ab polyprotein
5377,nucleocapsid phosphoprotein
1898,ORF1a polyprotein
3325,ORF1a polyprotein
6116,ORF1a polyprotein
12789,ORF1ab polyprotein
6208,ORF1ab polyprotein
7130,ORF1ab polyprotein
8074,ORF1a polyprotein
10179,ORF1a polyprotein
4695,ORF1ab polyprotein
7369,ORF1ab polyprotein
639,ORF1ab polyprotein
1639,ORF1a polyprotein
6531,ORF1a polyprotein
4441,ORF1ab polyprotein
3880,ORF1ab polyprotein
343,ORF1a polyprotein
3830,ORF1a polyprotein
10507,surface glycoprotein
10524,ORF1a polyprotein
11475,ORF1b polyprotein
10575,membrane glycoprotein
7512,ORF1ab polyprotein
4617,ORF1ab polyprotein
4176,ORF1ab polyprotein
5681,surface glycoprotein
5840,ORF1a polyprotein
12702,surface glycoprotein
1773,surface glycoprotein
7313,surface glycoprotein
11097,ORF1ab polyprotein
1082,ORF1ab polyprotein
5417,ORF1ab polyprotein
4310,ORF1a polyprotein
4648,ORF10 protein
10036,ORF1a polyprotein
6663,ORF1ab polyprotein
8223,ORF1a polyprotein
5509,ORF1a polyprotein
5376,ORF1a polyprotein
12392,ORF3 protein
8668,ORF1ab polyprotein
9292,surface glycoprotein
2656,ORF1a polyprotein
10738,surface glycoprotein
3761,ORF1ab polyprotein
10866,ORF1a polyprotein
12243,ORF5 protein
12914,ORF1ab polyprotein
8636,ORF1ab polyprotein
12724,membrane glycoprotein
13056,ORF1a polyprotein
2344,ORF3a protein
10283,ORF3a protein
3361,ORF1ab polyprotein
3623,ORF1ab polyprotein
5224,ORF3a protein
2728,ORF3a protein
3412,surface glycoprotein
3892,ORF1a polyprotein
7904,ORF1ab polyprotein
2502,ORF1ab polyprotein
534,ORF1a polyprotein
6817,ORF1a polyprotein
1181,ORF1a polyprotein
1761,ORF1ab polyprotein
209,ORF1a polyprotein
1836,ORF1a polyprotein
11780,ORF5 protein
2398,ORF1ab polyprotein
2813,ORF1ab polyprotein
5166,surface glycoprotein
6158,ORF1a polyprotein
6177,ORF1a polyprotein
5785,ORF1ab polyprotein
3416,ORF1ab polyprotein
7028,ORF3a protein
5918,ORF1ab polyprotein
10406,ORF1ab polyprotein
4011,ORF1a polyprotein
2243,ORF1ab polyprotein
2596,ORF1a polyprotein
12080,ORF1ab polyprotein
5598,ORF1a polyprotein
12945,surface glycoprotein
6842,ORF1ab polyprotein
6452,ORF1ab polyprotein
11671,surface glycoprotein
5491,surface glycoprotein
10049,nucleocapsid phosphoprotein
1956,surface glycoprotein
6196,ORF1ab polyprotein
10499,surface glycoprotein
4390,ORF1ab polyprotein
7041,surface glycoprotein
9322,ORF1a polyprotein
3347,ORF1ab polyprotein
9686,ORF1ab polyprotein
941,ORF1ab polyprotein
3172,surface glycoprotein
3503,ORF1a polyprotein
530,nucleocapsid phosphoprotein
4246,membrane glycoprotein
3428,ORF1ab polyprotein
7319,ORF1a polyprotein
681,ORF1a polyprotein
4281,ORF1ab polyprotein
12934,surface glycoprotein
11663,ORF1a polyprotein
4104,ORF1ab polyprotein
843,ORF1a polyprotein
2191,ORF1ab polyprotein
5442,ORF1ab polyprotein
12615,ORF1ab polyprotein
11943,ORF1ab polyprotein
10782,ORF1a polyprotein
8491,ORF1ab polyprotein
7479,surface glycoprotein
2512,ORF1ab polyprotein
1531,ORF1ab polyprotein
2002,ORF1a polyprotein
1915,ORF1ab polyprotein
7849,surface glycoprotein
1818,ORF1ab polyprotein
1045,surface glycoprotein
8727,ORF1a polyprotein
2019,ORF1ab polyprotein
4179,ORF1ab polyprotein
8174,ORF1ab polyprotein
1463,ORF1a polyprotein
7476,ORF1ab polyprotein
6222,ORF1ab polyprotein
5073,ORF1ab polyprotein
6328,ORF1ab polyprotein
2670,ORF1a polyprotein
12378,surface glycoprotein
1768,ORF1a polyprotein
10281,ORF1a polyprotein
9259,ORF1a polyprotein
488,ORF1ab polyprotein
5912,ORF1a polyprotein
6052,surface glycoprotein
8628,ORF1ab polyprotein
558,ORF1a polyprotein
13001,nucleocapsid phosphoprotein
7021,ORF1ab polyprotein
896,ORF1ab polyprotein
6562,ORF1ab polyprotein
7344,ORF1ab polyprotein
1450,ORF1a polyprotein
9573,ORF1a polyprotein
1866,ORF1a polyprotein
4464,ORF1ab polyprotein
8734,surface glycoprotein
4394,ORF1ab polyprotein
1918,ORF1ab polyprotein
9832,ORF1ab polyprotein
3241,ORF1ab polyprotein
12865,ORF3 protein
10187,surface glycoprotein
7735,ORF1ab polyprotein
11610,ORF4a protein
3162,surface glycoprotein
283,ORF1a polyprotein
7164,ORF1ab polyprotein
12275,ORF1ab polyprotein
6361,ORF1a polyprotein
11986,ORF1ab polyprotein
8198,ORF1ab polyprotein
7013,ORF1a polyprotein
11140,surface glycoprotein
11902,ORF5 protein
3541,surface glycoprotein
336,ORF1ab polyprotein
10007,ORF1ab polyprotein
328,ORF7a protein
3498,ORF1ab polyprotein
1135,ORF1a polyprotein
7212,ORF1ab polyprotein
9495,ORF1ab polyprotein
6180,ORF1ab polyprotein
12784,ORF1ab polyprotein
128,ORF1a polyprotein
10001,ORF3a protein
8109,ORF1ab polyprotein
3861,ORF1ab polyprotein
6473,ORF1ab polyprotein
8775,surface glycoprotein
9863,surface glycoprotein
4649,ORF1a polyprotein
9856,ORF1a polyprotein
4153,ORF1ab polyprotein
6604,ORF1ab polyprotein
923,ORF1a polyprotein
7522,ORF1a polyprotein
9384,ORF1ab polyprotein
2662,ORF1ab polyprotein
5938,ORF1ab polyprotein
7768,ORF1ab polyprotein
9023,ORF1ab polyprotein
11793,ORF1a polyprotein
12575,ORF4b protein
10436,ORF1a polyprotein
7548,ORF1ab polyprotein
4428,surface glycoprotein
1916,ORF1ab polyprotein
6145,ORF1ab polyprotein
9847,ORF1ab polyprotein
10272,surface glycoprotein
8108,ORF1ab polyprotein
9550,ORF1a polyprotein
4426,ORF1ab polyprotein
6391,ORF1a polyprotein
6684,ORF1ab polyprotein
12993,ORF1ab polyprotein
4515,ORF1ab polyprotein
318,ORF1ab polyprotein
1101,ORF1ab polyprotein
5655,ORF1ab polyprotein
10338,ORF1ab polyprotein
4420,surface glycoprotein
4790,ORF1a polyprotein
1796,ORF1ab polyprotein
2232,ORF1ab polyprotein
6953,ORF1a polyprotein
203,surface glycoprotein
9154,ORF1a polyprotein
2209,ORF1a polyprotein
9264,ORF1ab polyprotein
1105,ORF1a polyprotein
6276,ORF1ab polyprotein
8218,ORF1ab polyprotein
1372,ORF1a polyprotein
1303,ORF1ab polyprotein
13076,ORF4a protein
6971,ORF1ab polyprotein
9132,ORF1ab polyprotein
11416,nucleocapsid phosphoprotein
9472,ORF1ab polyprotein
366,ORF1ab polyprotein
2294,ORF1a polyprotein
8456,nucleocapsid phosphoprotein
5555,ORF1a polyprotein
9270,ORF1ab polyprotein
11114,ORF1ab polyprotein
12488,membrane glycoprotein
5257,ORF1a polyprotein
7104,ORF1ab polyprotein
7579,ORF1a polyprotein
10708,ORF1a polyprotein
642,ORF1ab polyprotein
8262,ORF1ab polyprotein
8517,surface glycoprotein
10404,ORF1a polyprotein
11609,ORF1a polyprotein
9858,surface glycoprotein
3903,ORF1ab polyprotein
8814,surface glycoprotein
1241,ORF1a polyprotein
304,ORF1a polyprotein
5336,ORF1a polyprotein
12946,ORF4a protein
1674,ORF1a polyprotein
8630,ORF1ab polyprotein
3417,ORF1a polyprotein
9211,ORF1ab polyprotein
5354,ORF1ab polyprotein
2690,ORF8 protein
9816,ORF1a polyprotein
7771,ORF1ab polyprotein
11229,surface glycoprotein
1744,ORF1ab polyprotein
10041,ORF1a polyprotein
12390,ORF1a polyprotein
5349,ORF1ab polyprotein
12752,ORF4b protein
10485,ORF1ab polyprotein
6786,ORF1ab polyprotein
9879,ORF1a polyprotein
784,ORF1a polyprotein
10653,ORF1ab polyprotein
7733,ORF1a polyprotein
1311,ORF1ab polyprotein
13097,ORF1a polyprotein
4542,ORF1ab polyprotein
4207,ORF1a polyprotein
8243,ORF1ab polyprotein
10214,surface glycoprotein
3708,ORF1a polyprotein
3506,ORF1ab polyprotein
5616,ORF1ab polyprotein
12204,ORF1ab polyprotein
1931,ORF1ab polyprotein
12472,surface glycoprotein
2637,ORF1ab polyprotein
11924,ORF8b protein
12167,ORF1a polyprotein
5677,ORF1a polyprotein
6980,ORF1ab polyprotein
4815,ORF1ab polyprotein
11721,nucleocapsid phosphoprotein
945,ORF1a polyprotein
331,ORF1a polyprotein
7845,ORF1a polyprotein
1830,ORF1a polyprotein
10057,ORF1a polyprotein
3562,ORF1a polyprotein
5910,ORF1ab polyprotein
2578,surface glycoprotein
7823,ORF1a polyprotein
1,ORF1ab polyprotein
12259,ORF1ab polyprotein
11517,surface glycoprotein
909,ORF1ab polyprotein
2435,ORF1ab polyprotein
2253,ORF1ab polyprotein
11009,ORF1ab polyprotein
2058,ORF1ab polyprotein
3031,ORF1ab polyprotein
2738,ORF1a polyprotein
13085,membrane glycoprotein
12377,surface glycoprotein
5502,ORF1ab polyprotein
12963,nucleocapsid phosphoprotein
9119,ORF1ab polyprotein
4333,ORF1a polyprotein
2714,ORF1ab polyprotein
5608,ORF1a polyprotein
11032,ORF1ab polyprotein
353,ORF1ab polyprotein
3579,surface glycoprotein
6700,ORF1ab polyprotein
12851,ORF4b protein
5700,ORF1a polyprotein
12215,membrane glycoprotein
8496,ORF1a polyprotein
7020,ORF1a polyprotein
1875,ORF1a polyprotein
9759,ORF1a polyprotein
11487,surface glycoprotein
4809,nucleocapsid phosphoprotein
4916,ORF1ab polyprotein
1902,ORF1a polyprotein
8321,ORF1ab polyprotein
6409,ORF1a polyprotein
9854,nucleocapsid phosphoprotein
10482,ORF1ab polyprotein
4661,ORF1ab polyprotein
6224,ORF1ab polyprotein
9335,ORF1ab polyprotein
11631,ORF4a protein
9699,ORF1a polyprotein
11205,surface glycoprotein
1268,ORF1a polyprotein
2014,ORF1ab polyprotein
9571,nucleocapsid phosphoprotein
8688,ORF1a polyprotein
12875,ORF4b protein
11216,ORF1a polyprotein
7046,ORF1a polyprotein
9810,ORF1ab polyprotein
8698,surface glycoprotein
4936,ORF3a protein
10123,nucleocapsid phosphoprotein
12413,envelope protein
7675,ORF1a polyprotein
5385,ORF1ab polyprotein
8529,ORF1a polyprotein
7248,nucleocapsid phosphoprotein
469,ORF1a polyprotein
196,ORF1ab polyprotein
4832,ORF1a polyprotein
7798,ORF1ab polyprotein
7975,ORF1ab polyprotein
11454,ORF5 protein
9469,ORF3a protein
573,ORF1a polyprotein
246,ORF1ab polyprotein
3770,ORF1a polyprotein
13174,nucleocapsid phosphoprotein
12765,ORF5 protein
9983,surface glycoprotein
9260,ORF1a polyprotein
12525,ORF4b protein
9517,ORF1a polyprotein
1646,ORF1a polyprotein
12340,ORF1ab polyprotein
11068,surface glycoprotein
11074,ORF3a protein
8600,ORF1ab polyprotein
8193,ORF1a polyprotein
4854,ORF1ab polyprotein
7018,ORF1ab polyprotein
2879,surface glycoprotein
10413,ORF1ab polyprotein
2895,ORF1a polyprotein
2519,ORF1ab polyprotein
8026,ORF1ab polyprotein
11311,surface glycoprotein
10348,ORF1ab polyprotein
5734,ORF1a polyprotein
12587,ORF4b protein
2155,ORF1a polyprotein
10910,ORF1ab polyprotein
13112,ORF1a polyprotein
2555,ORF1a polyprotein
12437,ORF5 protein
3523,ORF1a polyprotein
12791,membrane glycoprotein
4948,ORF1ab polyprotein
8954,ORF1a polyprotein
1394,ORF1ab polyprotein
13045,ORF1ab polyprotein
11106,nucleocapsid phosphoprotein
2114,surface glycoprotein
10610,ORF1ab polyprotein
1510,ORF1ab polyprotein
8143,membrane glycoprotein
12346,ORF4b protein
7923,ORF1ab polyprotein
797,ORF1ab polyprotein
12235,ORF1a polyprotein
2613,ORF1a polyprotein
9893,ORF1a polyprotein
6491,ORF1a polyprotein
4341,surface glycoprotein
10809,ORF3a protein
9496,ORF1a polyprotein
5743,ORF1a polyprotein
9131,ORF1ab polyprotein
4645,ORF1ab polyprotein
490,surface glycoprotein
197,ORF1ab polyprotein
2497,ORF1ab polyprotein
12672,ORF1a polyprotein
2646,ORF1a polyprotein
403,surface glycoprotein
1166,ORF1ab polyprotein
2949,ORF1a polyprotein
7440,ORF1ab polyprotein
9586,ORF1ab polyprotein
5154,ORF1a polyprotein
62,ORF1a polyprotein
7047,ORF1ab polyprotein
1173,ORF1a polyprotein
8413,ORF1a polyprotein
3975,ORF1a polyprotein
2090,ORF1a polyprotein
7049,nucleocapsid phosphoprotein
234,ORF1a polyprotein
10906,nucleocapsid phosphoprotein
985,surface glycoprotein
12535,ORF3 protein
494,ORF1ab polyprotein
2207,ORF3a protein
5573,ORF1a polyprotein
1600,ORF1a polyprotein
12703,ORF1ab polyprotein
11817,ORF8b protein
2998,surface glycoprotein
7267,ORF1ab polyprotein
1914,ORF1ab polyprotein
11834,surface glycoprotein
1471,ORF1ab polyprotein
12007,ORF1ab polyprotein
3526,surface glycoprotein
9870,ORF1ab polyprotein
12134,surface glycoprotein
3521,ORF1ab polyprotein
2171,ORF1a polyprotein
8562,ORF1ab polyprotein
12652,ORF1ab polyprotein
1302,ORF1ab polyprotein
12745,ORF4b protein
1331,ORF1ab polyprotein
492,ORF1ab polyprotein
2020,ORF1ab polyprotein
7022,ORF1ab polyprotein
2056,ORF1ab polyprotein
9546,ORF1ab polyprotein
5182,ORF1a polyprotein
293,ORF1ab polyprotein
9627,ORF1ab polyprotein
9541,nucleocapsid phosphoprotein
12165,nucleocapsid phosphoprotein
11247,ORF1a polyprotein
13039,nucleocapsid phosphoprotein
3058,surface glycoprotein
7890,ORF1ab polyprotein
9633,ORF7a protein
1821,ORF1ab polyprotein
8687,ORF1a polyprotein
9300,ORF1ab polyprotein
6356,nucleocapsid phosphoprotein
1029,ORF1ab polyprotein
8665,ORF1ab polyprotein
3913,surface glycoprotein
5933,ORF1a polyprotein
10544,surface glycoprotein
7638,ORF1ab polyprotein
777,surface glycoprotein
10142,ORF1ab polyprotein
5396,surface glycoprotein
7201,ORF1a polyprotein
240,ORF1ab polyprotein
2210,ORF1ab polyprotein
6618,ORF1ab polyprotein
722,ORF1a polyprotein
4498,ORF8 protein
6277,ORF1ab polyprotein
10367,ORF1a polyprotein
9579,ORF1ab polyprotein
854,ORF1ab polyprotein
4820,ORF1ab polyprotein
8926,ORF1a polyprotein
7040,ORF1ab polyprotein
921,ORF1ab polyprotein
9595,ORF1ab polyprotein
11955,surface glycoprotein
3737,ORF1ab polyprotein
6212,surface glycoprotein
12242,ORF4b protein
9574,surface glycoprotein
11666,ORF1ab polyprotein
4650,ORF1ab polyprotein
10959,nucleocapsid phosphoprotein
5835,ORF1a polyprotein
7169,ORF1a polyprotein
4643,ORF1ab polyprotein
12173,ORF1a polyprotein
10343,surface glycoprotein
2554,ORF1ab polyprotein
12283,ORF1ab polyprotein
317,ORF1ab polyprotein
3330,ORF1a polyprotein
5368,ORF1a polyprotein
11905,ORF1ab polyprotein
623,ORF1ab polyprotein
3977,ORF1a polyprotein
3056,surface glycoprotein
8795,ORF1ab polyprotein
12352,ORF8b protein
11307,membrane glycoprotein
658,ORF1a polyprotein
5591,ORF1a polyprotein
